nobs,mean,skew,kurtosis,median,mode,std,low,peak,q25,q75,iqr,gender
85,148.411764706,-0.170871764741,-1.21842537739,140,90,67.576587334,25,260,90,205,115,Male
103,186.116504854,-1.24171649266,0.0651248052385,210,220,76.6910712352,25,270,185,232.5,47.5,Female
117,192.35042735,-1.40241341861,0.727091722515,210,200,67.4333246181,25,265,190,235,45,Female
119,157.661064426,-0.532878285432,-1.50862000669,205,30,92.2205874882,25,270,40,227.5,187.5,not_specified
34,159.558823529,-0.893693275495,-0.636447734496,185,25,73.7480572731,25,245,122.5,215,92.5,Male
200,147.478333333,0.266550138499,-1.09745741964,135,100,74.8740911835,25,275,100,220,120,Male
84,149.869047619,-0.150714072156,-1.13031425867,170,80,55.0810614246,24,250,95,190,95,Male
97,113.195876289,0.209949466428,3.25305582072,120,130,43.6963843311,25,265,110,130,20,Male
83,117.65060241,1.00563506723,0.975155562339,105,85,44.3788275077,25,240,90,125,35,Male
82,173.956520095,-0.42975915529,-0.885733613735,205,120,56.4585124957,22.0385674931,265,120,220,100,Male
101,158.514851485,0.190963691186,-0.997187194506,130,115,55.2606091891,25,270,120,210,90,Male
85,163.285033124,-0.572163873522,-0.252503580049,150,125,55.8395839117,25,260,125,210,85,Male
90,183.612210818,-1.07995377098,0.0819067547833,215,220,69.8437896357,25,270,126.25,230,103.75,Male
79,169.807169052,0.238439462435,-1.5216348554,150,130,51.1100215092,74.7663551402,275,125,220,95,Male
92,170.108695652,0.241069953278,-1.64688213939,145,115,51.9352557898,100,260,120,230,110,Male
80,130.645833333,0.183453225373,0.140090233398,130,120,60.2964284862,25,270,120,150,30,Male
202,112.99587804,1.88893407377,9.52176074162,110,110,32.9444919773,25,260,105,115,10,Male
229,125.812430182,1.42858454667,1.9832801827,110,110,46.3634081915,25,265,105,125,20,Male
40,164.25,-0.110995650272,-1.65929452513,187.5,100,56.9270366346,85,245,100,211.25,111.25,Male
219,241.691672103,-1.77070436893,2.01291292543,265,265,39.2153711576,120,275,240,265,25,Male
94,140.585106383,0.451229998173,0.280029805789,130,130,55.4615852438,25,265,120,155,35,Male
136,125.588235294,1.30222176091,1.14844065658,110,105,49.2967411207,25,260,100,125,25,Male
84,136.071428571,0.793265525395,-0.337841901603,110,105,59.4121571883,25,275,100,153.75,53.75,Male
93,119.247311828,1.65130395517,7.53442406003,115,115,37.0842272689,25,270,110,125,15,Male
113,107.536873156,1.6972225258,6.84592265221,105,110,36.1821686562,25,275,95,110,15,Male
52,189.134615385,0.0835901432182,-1.51026561883,182.5,135,51.4755464148,110,275,138.75,240,101.25,Male
65,171.615384615,0.986462865711,-0.457122512424,155,135,45.8686057569,115,275,135,180,45,Male
61,207.704918033,-0.284101247451,-1.50672051936,220,260,51.6496216679,120,275,165,260,95,Male
56,199.553571429,-0.203818456984,-1.26397704078,195,135,49.4999710111,110,265,168.75,250,81.25,Male
69,179.347826087,0.445392071582,-0.898817016997,180,185,46.069520902,115,275,135,210,75,Male
75,192.8,0.00724851115175,-1.5796896738,180,255,52.6766235314,110,275,140,247.5,107.5,Male
57,193.245614035,0.124818258234,-1.35606355511,180,165,46.5897664773,120,270,160,240,80,Male
239,129.82964734,0.493055391112,-0.470995925957,125,90,71.7408803897,25,275,90,170,80,Male
304,177.302631579,-0.841031077816,-0.00314886407639,190,90,55.974858016,35,275,160,215,55,Male
118,220.508474576,-1.07171702516,0.902970196608,230,250,35.7746586199,95,270,200,250,50,Male
30,236.888888889,0.621920163392,-0.775363095198,235,220,16.0077141897,220,270,220,248.75,28.75,Male
87,124.885057471,1.85804582882,2.60543329022,110,110,36.02343595,85,250,105,130,25,Male
51,139.215686275,1.18922794687,0.234140264586,120,110,48.5815722852,85,275,105,160,55,Male
82,130,1.77197981642,2.22325268902,110,95,49.0830555433,85,275,100,143.75,43.75,Male
132,99.2803030303,0.0357932146888,6.53310679812,95,90,14.1305141524,25,155,90,110,20,Male
212,99.8820754717,-0.0162595800101,-0.469950997108,100,120,19.6876615761,40,150,85,120,35,Male
206,100.266990291,-0.196284974701,-0.790740152222,100,120,20.314316002,40,150,85,120,35,Male
229,102.183406114,0.972687499887,5.26512584332,100,120,20.1152028086,70,230,85,120,35,Male
215,99.5282392027,-0.167135486158,-0.00415600364606,100,120,21.2527791507,35,150,85,120,35,Male
131,123.712468193,-0.0242302748583,-1.75524755848,145,25,86.6128406286,24,260,25,210,185,Female
30,217.333333333,-0.664662016146,-1.0971926752,237.5,265,53.8475213502,120,275,171.25,265,93.75,Female
33,200.454545455,-1.02432549069,0.0135980290416,210,205,72.3036907181,30,275,160,265,105,Female
40,209,-1.14134941259,0.590857506256,227.5,205,62.331773599,25,275,175,260,85,Female
21,172.619047619,0.020860174701,-0.299750244729,175,175,47.6749671665,85,265,155,205,50,Female
28,211.071428571,-1.04895490997,0.500276415555,217.5,270,66.1351044515,25,275,170,270,100,Female
25,184.4,0.0938486889286,-0.202025083762,175,205,44.5492985354,85,270,155,205,50,Female
24,222.916666667,-1.29428971028,1.51210586624,240,260,49.0517725356,70,270,198.75,260,61.25,Female
29,207.24137931,-0.750304305953,0.240762022056,215,265,48.0047807766,70,265,170,240,70,Female
101,148.184922294,-1.00210249056,1.3977469357,155,155,39.860615932,30,235,135,170,35,Male
195,238.095238095,-0.93568624539,1.23813972151,235,235,23.5706700585,160,275,235,250,15,Male
